coin,arch,horizon,step,auc,accuracy,precision,recall,mse,mae,n_test
btc,lstm,h3,1,0.895,0.845,0.728,0.719,,,1359
btc,lstm,h3,2,0.89,0.842,0.736,0.708,,,994
btc,lstm,h3,3,0.885,0.822,0.708,0.715,,,629
btc,cnn,h3,1,0.544,0.628,0.266,0.18,,,1359
btc,cnn,h3,2,0.524,0.59,0.266,0.236,,,994
btc,cnn,h3,3,0.449,0.502,0.266,0.352,,,629
btc,lstm_mt,h1,1,0.779,0.84,0.667,0.16,,,1359
btc,lstm_mt,h3,1,0.892,0.813,0.637,0.786,,,1359
btc,lstm_mt,h5,1,0.834,0.744,0.6,0.769,,,1359
btc,lstm_mt,r3,1,,,,,0.013,0.078,1356
btc,lstm_mt,r5,1,,,,,0.007,0.067,1354
btc,lstm_mt,h1,2,0.761,0.835,0.656,0.121,,,994
btc,lstm_mt,h3,2,0.882,0.791,0.606,0.792,,,994
btc,lstm_mt,h5,2,0.825,0.71,0.56,0.799,,,994
btc,lstm_mt,r3,2,,,,,0.015,0.084,991
btc,lstm_mt,r5,2,,,,,0.008,0.072,989
btc,lstm_mt,h1,3,0.731,0.822,0.632,0.103,,,629
btc,lstm_mt,h3,3,0.863,0.738,0.548,0.829,,,629
btc,lstm_mt,h5,3,0.821,0.633,0.498,0.878,,,629
btc,lstm_mt,r3,3,,,,,0.022,0.106,626
btc,lstm_mt,r5,3,,,,,0.011,0.088,624
eth,lstm,h3,1,0.878,0.825,0.811,0.631,,,1359
eth,lstm,h3,2,0.87,0.821,0.833,0.584,,,994
eth,lstm,h3,3,0.842,0.793,0.832,0.541,,,629
eth,cnn,h3,1,0.618,0.666,0.537,0.111,,,1359
eth,cnn,h3,2,0.623,0.664,0.5,0.048,,,994
eth,cnn,h3,3,0.586,0.636,0.5,0.07,,,629
eth,lstm_mt,h1,1,0.763,0.79,0.624,0.188,,,1359
eth,lstm_mt,h3,1,0.884,0.829,0.797,0.664,,,1359
eth,lstm_mt,h5,1,0.866,0.804,0.78,0.674,,,1359
eth,lstm_mt,r3,1,,,,,0.008,0.068,1356
eth,lstm_mt,r5,1,,,,,0.007,0.064,1354
eth,lstm_mt,h1,2,0.748,0.797,0.623,0.175,,,994
eth,lstm_mt,h3,2,0.876,0.827,0.814,0.629,,,994
eth,lstm_mt,h5,2,0.86,0.811,0.789,0.669,,,994
eth,lstm_mt,r3,2,,,,,0.008,0.068,991
eth,lstm_mt,r5,2,,,,,0.006,0.059,989
eth,lstm_mt,h1,3,0.711,0.776,0.643,0.176,,,629
eth,lstm_mt,h3,3,0.848,0.808,0.825,0.598,,,629
eth,lstm_mt,h5,3,0.835,0.792,0.771,0.653,,,629
eth,lstm_mt,r3,3,,,,,0.011,0.079,626
eth,lstm_mt,r5,3,,,,,0.008,0.067,624
